气缸类型,适用机构,料品名称,料号,型号,缸径(mm),行程(mm),品牌
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAA-01294,MU10*10S,10.0,10.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAA-01556,MU10*15S,10.0,15.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAA-03696,MU10*20S,10.0,20.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAA-00372,MU10*25S,10.0,25.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAA-01487,MU10*30S,10.0,30.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAA-00377,MU6*10S,6.0,10.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,自由安装气缸,RAAJ-00057,MU6*20S,6.0,20.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,紧凑型气缸,RAAA-01136,TACQ12*10S,12.0,10.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,紧凑型气缸,RAAA-01330,ACQ12*10S,12.0,10.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,紧凑型气缸,RAAA-00539,ACQ12*20S,12.0,20.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,超薄气缸,RAAA-01518,ACQ12*50S,12.0,50.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,紧凑型气缸,RAAA-00541,ACQ20*20S,20.0,20.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,紧凑型气缸,RAAA-00508,ACQ20*50S,20.0,50.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,紧凑型气缸,RAAA-00511,ACQ32*20S,32.0,20.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,超薄气缸,RAAA-02448,ACQ32*50S,32.0,50.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,气缸,RAAA-01223,ACQ32*150S,32.0,150.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,超薄气缸,RAAK-00286,ACQ20*100S,20.0,100.0,亚德客
紧凑型气缸（超薄气缸）,挡停/顶升/推料,超薄气缸,RAAK-00285,ACQ32*100S,32.0,100.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00147,TR6*10S,6.0,10.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00148,TR6*40S,6.0,40.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00108,TN10*10S,10.0,10.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00126,TN10*30S,10.0,30.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00123,TN10*50S,10.0,50.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00130,TN10*100S,10.0,100.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00267,TN16*30S,16.0,30.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00115,TN16*150S,16.0,150.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00127,TN20*20S,20.0,20.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00125,TN20*50S,20.0,50.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00131,TN20*100S,20.0,100.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00296,TN20*150S,20.0,150.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00329,TN20*200S,20.0,200.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAA-02820,TN25*20S,25.0,20.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAL-00063,TN25*50S,25.0,50.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00844,TN25*100S,25.0,100.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-00121,TN32*20S,32.0,20.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAB-01149,TN32*50S,32.0,50.0,亚德客
双轴气缸,推料/平移,双轴气缸,RAAL-00081,TN32*100S,32.0,100.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00105,TCL10*20S,10.0,20.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00071,TCL16*10S,16.0,10.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00104,TCL16*20S,16.0,20.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00083,TCL16*50S,16.0,50.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00571,TCL16*100S,16.0,100.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00073,TCL20*20S,20.0,20.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00090,TCL20*50S,20.0,50.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00493,TCL20*100S,20.0,100.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAA-02086,TCL20*150S,20.0,150.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00099,TCL20*200S,20.0,200.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00072,TCL25*20S,25.0,20.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00079,TCL25*50S,25.0,50.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00084,TCL25*100S,25.0,100.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00095,TCL25*125S,25.0,125.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00075,TCL25*200S,25.0,200.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00106,TCM10*20S,10.0,20.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00058,TCL12*10S,12.0,10.0,亚德客
三轴气缸,推料/平移,三轴气缸,RAAB-00086,TCL12*50S,12.0,50.0,亚德客
阻挡气缸,挡停,阻挡气缸,RAAC-00027,TWH20*15SLF,20.0,15.0,亚德客
阻挡气缸,挡停,阻挡气缸,RAAC-00037,TWH25*15SLF,25.0,15.0,亚德客
旋转下压气缸,保压/夹持,回转夹紧气缸,RAAC-02523,QCKL12*10S,12.0,10.0,亚德客
旋转下压气缸,保压/夹持,焊接夹紧气缸,RAAC-00008,QCKR12*10S,12.0,10.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00069,QCKL25*10S,25.0,10.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00070,QCKR25*10S,25.0,10.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00067,QCKL25*20S,25.0,20.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00068,QCKR25*20S,25.0,20.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00065,QCKL32*10S,32.0,10.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00063,QCKR32*10S,32.0,10.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00064,QCKL32*20S,32.0,20.0,亚德客
旋转下压气缸,保压/夹持,旋转下压气缸,RAAN-00066,QCKR32*20S,32.0,20.0,亚德客
面板气缸,顶升/推料,面板气缸,RAAA-00338,MPE6*10,6.0,10.0,亚德客
面板气缸,顶升/推料,面板气缸,RAAA-00340,MPE10*10,10.0,10.0,亚德客
面板气缸,顶升/推料,螺纹气缸,RAAA-01185,MPE6*5,6.0,5.0,亚德客
面板气缸,顶升/推料,螺纹型气缸,RAAA-01469,MPE16*10,16.0,10.0,亚德客
